id,release_date,movie,production_budget,domestic_gross,worldwide_gross,Unnamed: 0,genre_ids,popularity,title,vote_average,vote_count,weighted_rating
36,2014-10-03,Gone Girl,61000000,167767189,368567189,11029,"Horror, Action, Drama, Fantasy, War",29.043000000000006,Dracula Untold,6.2,3719,6.5127852772845465
36,2014-10-03,Gone Girl,61000000,167767189,368567189,11091,Horror,13.989,Annabelle,5.6,3357,6.213749296535294
84,2014-10-03,Annabelle,6500000,84273813,256862920,11027,"Mystery, Thriller, Drama",31.215,Gone Girl,7.9,10459,7.677220022146883
84,2014-10-03,Annabelle,6500000,84273813,256862920,11029,"Horror, Action, Drama, Fantasy, War",29.043000000000006,Dracula Untold,6.2,3719,6.5127852772845465
84,2014-10-03,Annabelle,6500000,84273813,256862920,11091,Horror,13.989,Annabelle,5.6,3357,6.213749296535294
57,2014-10-03,Left Behind,16000000,14019924,20769209,11027,"Mystery, Thriller, Drama",31.215,Gone Girl,7.9,10459,7.677220022146883
57,2014-10-03,Left Behind,16000000,14019924,20769209,11029,"Horror, Action, Drama, Fantasy, War",29.043000000000006,Dracula Untold,6.2,3719,6.5127852772845465
57,2014-10-03,Left Behind,16000000,14019924,20769209,11091,Horror,13.989,Annabelle,5.6,3357,6.213749296535294
23,2014-10-03,La chambre bleue,1400000,260441,1945420,11027,"Mystery, Thriller, Drama",31.215,Gone Girl,7.9,10459,7.677220022146883
23,2014-10-03,La chambre bleue,1400000,260441,1945420,11029,"Horror, Action, Drama, Fantasy, War",29.043000000000006,Dracula Untold,6.2,3719,6.5127852772845465
23,2014-10-03,La chambre bleue,1400000,260441,1945420,11091,Horror,13.989,Annabelle,5.6,3357,6.213749296535294
54,2014-10-03,Drive Hard,12000000,0,0,11027,"Mystery, Thriller, Drama",31.215,Gone Girl,7.9,10459,7.677220022146883
54,2014-10-03,Drive Hard,12000000,0,0,11029,"Horror, Action, Drama, Fantasy, War",29.043000000000006,Dracula Untold,6.2,3719,6.5127852772845465
54,2014-10-03,Drive Hard,12000000,0,0,11091,Horror,13.989,Annabelle,5.6,3357,6.213749296535294
37,2014-11-26,Penguins of Madagascar,132000000,83350911,366942531,11095,"Drama, Romance",13.866,The Theory of Everything,7.9,6412,7.581428418834983
31,2014-11-26,Horrible Bosses 2,40000000,54445357,105945357,11095,"Drama, Romance",13.866,The Theory of Everything,7.9,6412,7.581428418834983
