Movie ID,Primary Title,Movie Length,Genres,Average Rating,Num of Votes,Primary Name,Position
tt1646971,How to Train Your Dragon 2,102.0,"Action,Adventure,Animation",7.8,278205,Cate Blanchett,actress
tt0780504,Drive,100.0,"Crime,Drama",7.8,521495,Albert Brooks,actor
tt2024519,The Broken Circle Breakdown,111.0,"Drama,Music,Romance",7.8,36462,Veerle Baetens,actress
tt3460252,The Hateful Eight,168.0,"Crime,Drama,Mystery",7.8,434966,Samuel L. Jackson,actor
tt4034228,Manchester by the Sea,137.0,Drama,7.8,214557,Matt Damon,producer
tt4434004,Udta Punjab,148.0,"Action,Crime,Drama",7.8,22991,Kareena Kapoor,actress
tt2382298,Life Itself,121.0,"Biography,Documentary",7.8,14069,Martin Scorsese,self
tt4302938,Kubo and the Two Strings,101.0,"Action,Adventure,Animation",7.8,105578,Ralph Fiennes,actor
tt5186714,The Salesman,124.0,"Drama,Thriller",7.8,41497,Hossein Jafarian,cinematographer
tt7098658,Raazi,138.0,"Action,Drama,Thriller",7.8,18369,Hiroo Johar,producer
tt1588170,I Saw the Devil,142.0,"Action,Crime,Drama",7.8,94029,Min-sik Choi,actor
tt3742378,The Second Mother,112.0,"Comedy,Drama",7.8,10833,Regina Casé,actress
tt2331143,"Like Father, Like Son",121.0,Drama,7.8,18135,Masaharu Fukuyama,actor
tt1517451,A Star Is Born,136.0,"Drama,Music,Romance",7.8,249245,Sam Elliott,actor
tt1843866,Captain America: The Winter Soldier,136.0,"Action,Adventure,Sci-Fi",7.8,666252,Samuel L. Jackson,actor
tt2980794,Highway,133.0,"Crime,Drama,Romance",7.7,23434,A.R. Rahman,composer
tt6304162,Loveless,127.0,Drama,7.7,23470,Sergey Melkumov,producer
tt8108202,Stree,128.0,"Comedy,Horror",7.7,19639,Krishna D.K.,writer
tt7469726,Shaadi Mein Zaroor Aana,137.0,"Drama,Family,Romance",7.7,9501,Anand Raj Anand,composer
tt1808223,Losers' Club,105.0,"Comedy,Drama,Romance",7.7,18660,Idil Firat,actress
tt4080728,A Man Called Ove,116.0,"Comedy,Drama,Romance",7.7,39163,Göran Hallberg,cinematographer
tt5635086,God's Own Country,104.0,"Drama,Romance",7.7,17934,Ian Hart,actor
tt1285016,The Social Network,120.0,"Biography,Drama",7.7,568578,David Fincher,director
tt1821549,Nebraska,115.0,"Adventure,Comedy,Drama",7.7,105304,Bruce Dern,actor
tt1306980,50/50,100.0,"Comedy,Drama,Romance",7.7,300475,Michael Giacchino,composer
tt6826438,Parmanu: The Story of Pokhran,129.0,"Action,Drama,History",7.7,16918,Sandeep Chowta,composer
tt1024648,Argo,120.0,"Biography,Drama,Thriller",7.7,534683,George Clooney,producer
tt2140465,Tanu Weds Manu Returns,128.0,"Comedy,Drama,Romance",7.7,23823,Madhavan,actor
tt1650048,Laurence Anyways,168.0,"Drama,Romance",7.7,15577,Nathalie Baye,actress
tt5098128,Nannaku Prematho,168.0,"Action,Drama,Thriller",7.7,8025,Jagapathi Babu,actor
tt5052448,Get Out,104.0,"Horror,Mystery,Thriller",7.7,400474,Catherine Keener,actress
tt4226388,Victoria,138.0,"Crime,Drama,Romance",7.7,44921,Sebastian Schipper,director
tt4196848,Mr. Church,104.0,"Comedy,Drama",7.7,22885,Eddie Murphy,actor
tt4272866,The Boy and the Beast,119.0,"Action,Adventure,Animation",7.7,16503,Mamoru Hosoda,director
tt2802144,Kingsman: The Secret Service,129.0,"Action,Adventure,Comedy",7.7,544510,Colin Firth,actor
tt3029558,Rurouni Kenshin Part II: Kyoto Inferno,138.0,"Action,Adventure,Drama",7.7,10645,Satoshi Fukushima,producer
tt6788942,Bad Genius,130.0,"Comedy,Crime,Drama",7.7,13622,Jira Maligool,producer
tt1926313,Pyaar Ka Punchnama,149.0,"Comedy,Drama,Romance",7.7,17788,Vikram Malhotra,producer
tt3398268,When Marnie Was There,103.0,"Animation,Drama,Family",7.7,24586,Masashi Ando,writer
tt1270798,X-Men: First Class,131.0,"Action,Adventure,Sci-Fi",7.7,608930,Kevin Bacon,actor
tt2010914,Behzat Ç.: Seni Kalbime Gömdüm,110.0,"Action,Crime,Mystery",7.7,8462,Serdar Akar,director
tt6264938,Kesari,150.0,"Action,Drama,History",7.7,7557,Karan Johar,producer
tt2066051,Rocketman,121.0,"Biography,Drama,Music",7.7,24266,Dexter Fletcher,director
tt3606756,Incredibles 2,118.0,"Action,Adventure,Animation",7.7,203510,Holly Hunter,actress
tt4900716,Kapoor & Sons,132.0,"Comedy,Drama,Romance",7.7,19923,Hiroo Johar,producer
tt3717532,The Last: Naruto the Movie,112.0,"Action,Adventure,Animation",7.7,9354,Seth Walther,writer
tt1408101,Star Trek Into Darkness,132.0,"Action,Adventure,Sci-Fi",7.7,445535,J.J. Abrams,director
