id,release_date,movie,production_budget,domestic_gross,worldwide_gross,genre_ids,popularity,title,vote_average,vote_count
83,2018-12-21,Second Act,15700000,39282227,63288854,"Action, Adventure, Science Fiction",43.078,Bumblebee,6.5,2425
83,2018-12-21,Second Act,15700000,39282227,63288854,"Action, Adventure, Fantasy",38.102,Aquaman,6.8,6155
83,2018-12-21,Second Act,15700000,39282227,63288854,"Drama, Comedy, Fantasy",22.032,Welcome to Marwen,6.6,286
83,2018-12-21,Second Act,15700000,39282227,63288854,"Romance, Comedy",16.322,Second Act,6.2,361
18,2018-12-21,Welcome to Marwen,45000000,10763520,12874922,"Action, Adventure, Science Fiction",43.078,Bumblebee,6.5,2425
18,2018-12-21,Welcome to Marwen,45000000,10763520,12874922,"Action, Adventure, Fantasy",38.102,Aquaman,6.8,6155
18,2018-12-21,Welcome to Marwen,45000000,10763520,12874922,"Drama, Comedy, Fantasy",22.032,Welcome to Marwen,6.6,286
18,2018-12-21,Welcome to Marwen,45000000,10763520,12874922,"Romance, Comedy",16.322,Second Act,6.2,361
17,2016-05-06,Captain America: Civil War,250000000,408084349,1140069413,"Adventure, Action, Science Fiction",39.137,Captain America: Civil War,7.4,14000
17,2016-05-06,Captain America: Civil War,250000000,408084349,1140069413,Drama,10.148,Pelé: Birth of a Legend,7.2,446
12,2016-05-06,Dheepan,9000000,248795,7704357,"Adventure, Action, Science Fiction",39.137,Captain America: Civil War,7.4,14000
12,2016-05-06,Dheepan,9000000,248795,7704357,Drama,10.148,Pelé: Birth of a Legend,7.2,446
47,2016-05-06,Code of Honor,8000000,0,0,"Adventure, Action, Science Fiction",39.137,Captain America: Civil War,7.4,14000
47,2016-05-06,Code of Honor,8000000,0,0,Drama,10.148,Pelé: Birth of a Legend,7.2,446
37,2014-06-27,Transformers: Age of Extinction,210000000,245439076,1104039076,"Science Fiction, Action, Adventure",20.961,Transformers: Age of Extinction,5.8,4805
37,2014-06-27,Transformers: Age of Extinction,210000000,245439076,1104039076,"Comedy, Family",9.549,Zapped,5.9,291
37,2014-06-27,Transformers: Age of Extinction,210000000,245439076,1104039076,Comedy,7.353,They Came Together,5.5,226
37,2014-06-27,Transformers: Age of Extinction,210000000,245439076,1104039076,"Crime, Documentary",6.483,The Internet's Own Boy: The Story of Aaron Swartz,7.9,243
27,2014-06-27,Snowpiercer,40000000,4563029,88069880,"Science Fiction, Action, Adventure",20.961,Transformers: Age of Extinction,5.8,4805
27,2014-06-27,Snowpiercer,40000000,4563029,88069880,"Comedy, Family",9.549,Zapped,5.9,291
27,2014-06-27,Snowpiercer,40000000,4563029,88069880,Comedy,7.353,They Came Together,5.5,226
27,2014-06-27,Snowpiercer,40000000,4563029,88069880,"Crime, Documentary",6.483,The Internet's Own Boy: The Story of Aaron Swartz,7.9,243
91,2014-06-27,Begin Again,8000000,16170632,68838736,"Science Fiction, Action, Adventure",20.961,Transformers: Age of Extinction,5.8,4805
91,2014-06-27,Begin Again,8000000,16170632,68838736,"Comedy, Family",9.549,Zapped,5.9,291
91,2014-06-27,Begin Again,8000000,16170632,68838736,Comedy,7.353,They Came Together,5.5,226
91,2014-06-27,Begin Again,8000000,16170632,68838736,"Crime, Documentary",6.483,The Internet's Own Boy: The Story of Aaron Swartz,7.9,243
58,2014-06-27,They Came Together,3000000,0,82780,"Science Fiction, Action, Adventure",20.961,Transformers: Age of Extinction,5.8,4805
58,2014-06-27,They Came Together,3000000,0,82780,"Comedy, Family",9.549,Zapped,5.9,291
58,2014-06-27,They Came Together,3000000,0,82780,Comedy,7.353,They Came Together,5.5,226
58,2014-06-27,They Came Together,3000000,0,82780,"Crime, Documentary",6.483,The Internet's Own Boy: The Story of Aaron Swartz,7.9,243
11,2012-07-20,The Dark Knight Rises,275000000,448139099,1084439099,"Action, Crime, Drama, Thriller",26.22,The Dark Knight Rises,7.7,13933
10,2012-07-20,Burn,225000,1109276,1109276,"Action, Crime, Drama, Thriller",26.22,The Dark Knight Rises,7.7,13933
47,2010-06-18,Toy Story 3,200000000,415004880,1068879522,"Action, Western, Drama, Fantasy, Thriller",13.467,Jonah Hex,4.6,708
47,2010-06-18,Toy Story 3,200000000,415004880,1068879522,"Comedy, Drama, Romance",7.735,Cyrus,6.0,201
62,2010-06-18,Io sono lâamore,10000000,5005465,15121528,"Action, Western, Drama, Fantasy, Thriller",13.467,Jonah Hex,4.6,708
62,2010-06-18,Io sono lâamore,10000000,5005465,15121528,"Comedy, Drama, Romance",7.735,Cyrus,6.0,201
40,2010-06-18,Jonah Hex,47000000,10547117,11022696,"Action, Western, Drama, Fantasy, Thriller",13.467,Jonah Hex,4.6,708
40,2010-06-18,Jonah Hex,47000000,10547117,11022696,"Comedy, Drama, Romance",7.735,Cyrus,6.0,201
27,2010-06-18,Cyrus,7000000,7468936,10062896,"Action, Western, Drama, Fantasy, Thriller",13.467,Jonah Hex,4.6,708
27,2010-06-18,Cyrus,7000000,7468936,10062896,"Comedy, Drama, Romance",7.735,Cyrus,6.0,201
11,2010-06-18,The Killer Inside Me,13000000,217277,3617277,"Action, Western, Drama, Fantasy, Thriller",13.467,Jonah Hex,4.6,708
11,2010-06-18,The Killer Inside Me,13000000,217277,3617277,"Comedy, Drama, Romance",7.735,Cyrus,6.0,201
38,2010-06-18,8: The Mormon Proposition,2500000,100280,100280,"Action, Western, Drama, Fantasy, Thriller",13.467,Jonah Hex,4.6,708
38,2010-06-18,8: The Mormon Proposition,2500000,100280,100280,"Comedy, Drama, Romance",7.735,Cyrus,6.0,201
45,2016-12-16,Rogue One: A Star Wars Story,200000000,532177324,1049102856,"Action, Adventure, Science Fiction",21.401,Rogue One: A Star Wars Story,7.5,9296
45,2016-12-16,Rogue One: A Star Wars Story,200000000,532177324,1049102856,"Drama, Romance",12.857,Collateral Beauty,7.2,3270
45,2016-12-16,Rogue One: A Star Wars Story,200000000,532177324,1049102856,Drama,12.753,Fences,6.8,1465
13,2016-12-16,Collateral Beauty,36000000,31016021,85309093,"Action, Adventure, Science Fiction",21.401,Rogue One: A Star Wars Story,7.5,9296
13,2016-12-16,Collateral Beauty,36000000,31016021,85309093,"Drama, Romance",12.857,Collateral Beauty,7.2,3270
13,2016-12-16,Collateral Beauty,36000000,31016021,85309093,Drama,12.753,Fences,6.8,1465
37,2016-12-16,Fences,24000000,57682904,64282881,"Action, Adventure, Science Fiction",21.401,Rogue One: A Star Wars Story,7.5,9296
37,2016-12-16,Fences,24000000,57682904,64282881,"Drama, Romance",12.857,Collateral Beauty,7.2,3270
37,2016-12-16,Fences,24000000,57682904,64282881,Drama,12.753,Fences,6.8,1465
2,2011-05-20,Pirates of the Caribbean: On Stranger Tides,410600000,241063875,1045663875,"Adventure, Action, Fantasy",30.579,Pirates of the Caribbean: On Stranger Tides,6.4,8571
2,2011-05-20,Pirates of the Caribbean: On Stranger Tides,410600000,241063875,1045663875,"Fantasy, Comedy, Romance",13.171,Midnight in Paris,7.5,3965
83,2011-05-20,Midnight in Paris,30000000,56816662,162502774,"Adventure, Action, Fantasy",30.579,Pirates of the Caribbean: On Stranger Tides,6.4,8571
83,2011-05-20,Midnight in Paris,30000000,56816662,162502774,"Fantasy, Comedy, Romance",13.171,Midnight in Paris,7.5,3965
30,2017-06-30,Despicable Me 3,75000000,264624300,1034727750,"Action, Animation, Comedy, Family, Adventure",16.407,Despicable Me 3,6.3,4106
30,2017-06-30,Despicable Me 3,75000000,264624300,1034727750,"Drama, Thriller, Romance, Science Fiction, Mystery",11.316,2:22,5.8,809
30,2017-06-30,Despicable Me 3,75000000,264624300,1034727750,Comedy,9.62,The House,5.7,474
30,2017-06-30,Despicable Me 3,75000000,264624300,1034727750,Comedy,8.269,The Little Hours,5.6,192
86,2017-06-30,The House,40000000,25584504,31192425,"Action, Animation, Comedy, Family, Adventure",16.407,Despicable Me 3,6.3,4106
86,2017-06-30,The House,40000000,25584504,31192425,"Drama, Thriller, Romance, Science Fiction, Mystery",11.316,2:22,5.8,809
86,2017-06-30,The House,40000000,25584504,31192425,Comedy,9.62,The House,5.7,474
86,2017-06-30,The House,40000000,25584504,31192425,Comedy,8.269,The Little Hours,5.6,192
51,2010-03-05,Alice in Wonderland,200000000,334191110,1025491110,"Family, Fantasy, Adventure",22.02,Alice in Wonderland,6.6,8713
88,2010-03-05,Brooklyn's Finest,17000000,27163593,39233233,"Family, Fantasy, Adventure",22.02,Alice in Wonderland,6.6,8713
17,2010-03-05,The Secret of Kells,8000000,690290,3582797,"Family, Fantasy, Adventure",22.02,Alice in Wonderland,6.6,8713
46,2016-06-17,Finding Dory,200000000,486295561,1021215193,"Adventure, Animation, Comedy, Family",15.393,Finding Dory,7.0,7845
46,2016-06-17,Finding Dory,200000000,486295561,1021215193,"Action, Comedy, Mystery",14.478,Central Intelligence,6.3,3133
46,2016-06-17,Finding Dory,200000000,486295561,1021215193,"Family, Animation",10.131,Piper,8.2,866
46,2016-06-17,Finding Dory,200000000,486295561,1021215193,"Documentary, Mystery, Thriller",9.913,Tickled,7.4,188
46,2016-06-17,Finding Dory,200000000,486295561,1021215193,Horror,7.223,Clown,5.3,682
91,2016-06-17,Central Intelligence,50000000,127440871,217194805,"Adventure, Animation, Comedy, Family",15.393,Finding Dory,7.0,7845
91,2016-06-17,Central Intelligence,50000000,127440871,217194805,"Action, Comedy, Mystery",14.478,Central Intelligence,6.3,3133
91,2016-06-17,Central Intelligence,50000000,127440871,217194805,"Family, Animation",10.131,Piper,8.2,866
91,2016-06-17,Central Intelligence,50000000,127440871,217194805,"Documentary, Mystery, Thriller",9.913,Tickled,7.4,188
91,2016-06-17,Central Intelligence,50000000,127440871,217194805,Horror,7.223,Clown,5.3,682
57,2016-03-04,Zootopia,150000000,341268248,1019429616,"Horror, Thriller",7.905,Emelie,5.2,455
57,2016-03-04,Zootopia,150000000,341268248,1019429616,"Animation, Adventure, Family, Comedy",27.549,Zootopia,7.7,9977
57,2016-03-04,Zootopia,150000000,341268248,1019429616,"Action, Thriller",15.287,London Has Fallen,5.9,2591
57,2016-03-04,Zootopia,150000000,341268248,1019429616,"Romance, Drama",9.491,Knight of Cups,5.6,351
57,2016-03-04,Zootopia,150000000,341268248,1019429616,"War, Comedy",8.564,Whiskey Tango Foxtrot,6.2,596
80,2016-03-04,London Has Fallen,60000000,62524260,195194085,"Horror, Thriller",7.905,Emelie,5.2,455
80,2016-03-04,London Has Fallen,60000000,62524260,195194085,"Animation, Adventure, Family, Comedy",27.549,Zootopia,7.7,9977
80,2016-03-04,London Has Fallen,60000000,62524260,195194085,"Action, Thriller",15.287,London Has Fallen,5.9,2591
80,2016-03-04,London Has Fallen,60000000,62524260,195194085,"Romance, Drama",9.491,Knight of Cups,5.6,351
80,2016-03-04,London Has Fallen,60000000,62524260,195194085,"War, Comedy",8.564,Whiskey Tango Foxtrot,6.2,596
6,2016-03-04,Whiskey Tango Foxtrot,35000000,23083334,25350747,"Horror, Thriller",7.905,Emelie,5.2,455
