genre_ids,popularity,release_date,title,vote_average,vote_count
Drama,13.152000000000001,2011-12-02,Shame,7.0,1607
"Drama, Action",13.06,2011-09-13,Never Back Down 2: The Beatdown,6.0,257
"Drama, Animation, Family, Comedy",12.981,2011-11-23,Arthur Christmas,6.7,692
"Drama, Thriller, Action, Adventure",12.942,2012-01-27,The Grey,6.5,2280
"Adventure, Drama, Family",12.936,2011-11-23,Hugo,7.1,4124
"Animation, Family, TV Movie",12.841,2011-11-24,Ice Age: A Mammoth Christmas,6.2,313
"Action, Crime, Drama, Mystery, Thriller",12.808,1991-05-24,Backdraft,6.5,613
"Action, Science Fiction",12.720999999999998,2011-03-08,Battle: Los Angeles,5.6,2049
"Drama, Thriller",12.697000000000001,2011-08-31,The Debt,6.6,403
"Action, Thriller, Science Fiction",12.697000000000001,2011-01-18,Death Race 2,5.6,560
"Comedy, Fantasy, Family, Music, Animation",12.672,2011-12-16,Alvin and the Chipmunks: Chipwrecked,5.5,1055
"Horror, Thriller",12.614,2011-07-08,The Ward,5.8,608
Drama,12.597999999999999,2011-08-10,The Help,8.1,3944
"Adventure, Fantasy, Science Fiction, Action",12.550999999999998,2011-09-13,Marvel One-Shot: The Consultant,6.6,202
"Adventure, Fantasy, Action",12.535,2011-01-07,Season of the Witch,5.3,1352
"Mystery, Thriller",12.481,1980-06-25,Dressed to Kill,6.8,300
"Comedy, Drama",12.450999999999999,2011-09-30,50/50,7.1,2111
"Horror, Science Fiction, Mystery, Thriller",12.349,2011-10-14,The Thing,6.1,1404
"Drama, Romance",12.329,2011-03-11,Jane Eyre,7.1,758
"Action, Comedy",12.213,2011-11-04,Tower Heist,6.0,1592
"Animation, Family",12.130999999999998,2011-11-23,Small Fry,6.7,218
Comedy,12.122,2011-08-05,The Change-Up,6.0,1406
Drama,12.081,2011-11-23,My Week with Marilyn,6.7,741
"Action, Mystery, Thriller",12.08,2011-02-18,Unknown,6.6,2043
"Horror, Comedy",12.078,2011-08-19,Fright Night,6.0,1024
"Science Fiction, Action, Adventure",12.062999999999999,1982-07-09,Tron,6.6,1100
"Drama, Comedy",12.011,2011-10-27,The Rum Diary,5.7,652
"Adventure, Animation, Mystery",11.981,2011-12-20,The Adventures of Tintin,6.8,3251
"Drama, Thriller",11.964,2011-12-09,We Need to Talk About Kevin,7.6,1306
"Adventure, Action, Thriller",11.932,2011-10-20,The Three Musketeers,5.7,1596
"Crime, Drama, Thriller, Mystery",11.909,2011-10-14,Trespass,5.5,589
"Comedy, Romance",11.883,1984-05-04,Sixteen Candles,6.8,982
"Fantasy, Thriller, Horror",11.856,2011-03-11,Red Riding Hood,5.9,1884
"Crime, Drama, Thriller",11.812000000000001,2011-03-18,The Lincoln Lawyer,7.1,1525
Comedy,11.571,2011-12-09,The Sitter,5.4,472
"Drama, Fantasy",11.569,2011-05-27,The Tree of Life,6.6,1730
"Action, Thriller, Science Fiction, Adventure",11.555,2011-02-18,I Am Number Four,6.0,2805
"Crime, Action, Science Fiction",11.485,1993-10-08,Demolition Man,6.5,1678
"Comedy, Action, Drama",11.36,2011-03-31,Super,6.6,726
"Comedy, Family, Music",11.324000000000002,2011-11-23,The Muppets,6.6,831
"Comedy, Drama, Romance",11.321,2011-03-04,Take Me Home Tonight,6.1,339
"Action, Adventure, Comedy",11.315,2011-08-12,30 Minutes or Less,5.6,825
Comedy,11.277000000000001,2011-11-11,Jack and Jill,4.1,1124
"Comedy, Family, Romance",11.273,2011-09-05,A Cinderella Story: Once Upon a Song,6.2,640
"Thriller, Drama",11.235999999999999,2011-09-30,Take Shelter,7.2,787
